Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,24.14,17.29,19.12,23.64,27.60,29.97,29.34,27.16,26.37,26.17,24.66,20.60,17.46
"Madhya Pradesh",25.34,17.73,19.80,25.18,30.12,33.52,32.05,27.72,26.46,26.79,25.65,21.04,17.72
Jharkhand,24.57,16.84,19.11,24.41,29.14,31.21,30.31,27.70,27.18,27.00,24.94,20.24,16.55
"Andaman and Nicobar",27.37,26.61,26.70,27.32,28.55,28.10,27.44,27.43,27.35,27.10,27.31,27.43,27.03
Chhattisgarh,25.38,19.16,21.44,25.98,30.14,32.88,30.62,26.78,26.27,26.51,25.15,21.15,18.36
"Administrative unit not available",8.58,-2.60,-1.99,3.69,8.76,12.60,16.62,18.83,18.15,14.87,9.91,3.91,-0.51
Chandigarh,23.00,12.43,13.97,19.64,25.72,30.17,31.97,29.72,28.62,27.62,24.17,17.92,13.49
"Administrative unit not available",6.85,-4.67,-3.87,1.60,6.88,10.75,15.03,17.51,16.92,13.33,8.20,2.27,-2.43
"Daman and Diu",26.01,21.50,21.96,25.11,27.02,28.89,29.38,27.91,26.99,27.06,27.81,25.57,22.66
"Administrative unit not available",-0.79,-12.49,-12.13,-6.27,-1.00,2.34,6.93,10.46,9.95,6.30,0.64,-5.41,-9.57
"Dadra and Nagar Haveli",26.25,22.07,22.88,26.35,28.96,30.30,29.09,26.90,26.33,26.73,27.53,25.06,22.64
"Administrative unit not available",-3.04,-15.39,-14.69,-8.80,-3.40,0.21,5.26,9.44,8.92,4.71,-2.06,-8.61,-12.89
"Administrative unit not available",21.00,9.79,11.29,16.71,22.72,27.82,30.59,29.30,28.26,26.47,22.14,15.67,10.71
"Administrative unit not available",9.30,-1.63,-1.08,4.37,9.43,13.37,17.37,19.26,18.53,15.34,10.69,4.88,0.39
Bihar,24.93,16.17,18.28,23.75,28.63,30.72,30.79,29.19,28.77,28.53,26.23,21.03,16.70
"Administrative unit not available",5.54,-5.46,-5.07,0.62,5.68,9.25,13.28,15.61,14.96,11.86,6.98,1.12,-3.02
"Arunachal Pradesh",18.71,11.55,13.05,16.27,18.70,21.41,23.41,24.04,23.98,23.14,20.35,15.98,12.28
"Administrative unit not available",8.12,-3.05,-2.46,3.16,8.24,12.09,16.15,18.37,17.71,14.39,9.48,3.57,-0.89
"West Bengal",25.30,18.18,20.38,25.33,28.73,29.69,29.38,28.42,28.13,28.06,26.44,22.21,18.37
Maharashtra,26.18,21.87,23.47,27.43,30.67,32.29,29.50,26.52,25.75,26.14,26.14,23.15,21.18
Lakshadweep,26.97,26.57,26.56,27.19,28.14,27.92,26.84,26.58,26.48,26.51,26.90,27.06,26.92
"Administrative unit not available",11.81,0.84,1.63,6.92,12.22,16.54,20.32,21.28,20.52,17.70,13.15,7.30,2.66
"Administrative unit not available",16.89,6.02,7.07,12.59,18.22,22.72,25.60,25.43,24.59,22.39,18.09,11.96,7.43
Kerala,25.62,24.80,25.56,26.83,27.75,27.13,25.42,24.63,24.74,25.21,25.45,25.28,24.70
Karnataka,25.30,22.83,24.57,27.27,29.07,28.88,26.27,24.80,24.54,24.83,24.95,23.42,22.21
"Himachal Pradesh",8.24,-1.83,-1.30,3.93,8.95,12.79,15.94,16.82,16.06,13.70,9.31,3.77,0.16
Haryana,24.75,13.89,15.86,21.81,27.94,32.40,33.92,31.28,29.88,29.11,25.97,19.62,14.80
Gujarat,26.60,19.76,21.39,26.12,29.78,32.15,31.58,29.10,27.77,28.02,28.09,24.34,20.78
Uttarakhand,13.22,4.04,4.99,9.92,14.91,18.54,20.32,19.88,19.36,17.66,14.04,8.94,5.48
Goa,25.98,24.37,24.70,26.70,28.34,28.71,26.43,25.26,25.13,25.40,26.34,25.66,24.71
"Uttar Pradesh",25.21,15.43,17.59,23.45,29.27,32.86,33.21,30.11,29.06,28.70,26.13,20.42,15.89
Nagaland,19.45,12.88,14.27,17.59,19.94,22.04,23.40,23.74,23.72,23.33,21.31,17.24,13.62
Mizoram,22.25,16.49,17.84,21.98,24.35,25.15,24.80,24.98,24.71,25.04,23.77,20.48,17.21
Meghalaya,21.74,15.16,16.82,21.05,23.17,24.02,24.98,25.57,25.60,25.21,23.40,19.61,16.02
Puducherry,27.64,24.86,25.69,27.30,29.21,30.43,30.01,29.01,28.40,28.16,27.37,26.06,25.03
Delhi,24.91,14.18,16.17,22.27,28.38,32.52,33.85,31.18,29.81,29.12,26.14,19.84,14.94
Manipur,20.00,13.71,15.08,18.87,21.47,22.98,23.31,23.59,23.31,23.35,21.74,17.92,14.37
Assam,22.89,16.01,17.72,21.61,23.70,25.31,26.75,27.26,27.26,26.76,24.64,20.60,16.76
"Andhra Pradesh",27.15,23.05,25.09,28.11,30.86,32.42,30.37,27.99,27.48,27.46,26.59,24.02,22.28
Tripura,24.64,18.06,19.87,24.44,26.79,27.47,27.59,27.79,27.72,27.83,26.39,22.59,18.87
"Tamil Nadu",26.82,24.19,25.37,27.19,29.09,29.47,28.51,27.66,27.33,27.21,26.45,25.17,24.10
Sikkim,5.25,-3.00,-1.95,1.93,5.45,8.44,11.31,12.09,11.61,10.35,6.31,1.58,-1.52
Rajasthan,25.65,15.63,17.81,23.81,29.36,33.38,33.83,30.92,29.24,28.90,26.85,21.11,16.56
Punjab,23.83,12.59,14.28,20.11,26.32,31.28,33.53,31.33,30.14,28.86,25.02,18.41,13.55
Orissa,25.45,19.84,22.11,26.05,29.27,31.07,29.64,27.01,26.69,26.89,25.61,21.98,19.16
