Variable:,tasmax
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,30.42,24.39,26.92,31.42,35.12,36.66,34.59,31.16,30.20,30.84,30.78,27.93,24.93
"Madhya Pradesh",32.10,25.27,28.31,33.76,38.55,40.89,37.72,31.56,29.79,31.36,32.56,29.42,25.90
Jharkhand,30.93,24.28,27.04,32.64,37.14,38.39,35.70,31.35,30.78,31.03,30.45,27.73,24.53
"Andaman and Nicobar",29.95,29.34,29.93,30.89,31.99,30.93,29.74,29.38,29.24,29.30,29.73,29.63,29.34
Chhattisgarh,31.77,26.51,29.45,34.17,38.22,40.26,36.09,30.48,29.69,30.63,30.80,28.64,26.26
"Administrative unit not available",14.29,2.08,3.32,9.04,14.69,18.40,22.63,23.98,23.24,21.42,16.80,10.56,4.68
Chandigarh,29.62,19.24,21.44,26.91,33.75,37.52,38.16,33.77,32.46,32.86,31.41,26.39,21.17
"Administrative unit not available",12.57,-0.01,1.29,6.90,12.66,16.41,21.06,22.92,22.23,20.12,15.10,8.78,2.70
"Daman and Diu",31.36,28.83,29.70,31.99,32.70,32.83,32.32,30.45,29.61,30.77,33.83,32.91,30.26
"Administrative unit not available",5.40,-6.78,-5.94,-0.41,5.22,8.39,12.81,16.52,15.76,13.21,7.44,1.39,-3.59
"Dadra and Nagar Haveli",32.71,30.59,32.06,34.76,36.37,35.96,33.35,30.37,29.61,31.12,34.14,33.12,31.17
"Administrative unit not available",3.90,-8.72,-7.65,-2.20,3.56,6.93,11.77,16.16,15.35,12.15,5.45,-0.92,-5.82
"Administrative unit not available",27.79,16.38,18.52,23.64,30.48,35.28,37.58,33.90,32.67,32.43,29.95,24.16,18.06
"Administrative unit not available",14.78,2.82,3.98,9.46,15.12,18.93,23.27,24.07,23.34,21.72,17.36,11.31,5.43
Bihar,31.23,23.55,26.31,32.13,36.60,37.30,35.92,32.76,32.35,32.47,31.72,28.84,24.66
"Administrative unit not available",11.33,-0.39,0.69,6.12,11.70,15.11,19.02,20.89,20.10,18.23,13.58,7.74,2.50
"Arunachal Pradesh",24.08,18.05,19.32,22.42,24.56,26.51,27.70,27.79,28.09,27.21,25.58,22.24,19.25
"Administrative unit not available",13.74,1.54,2.73,8.39,14.05,17.76,22.09,23.47,22.75,20.90,16.26,10.08,4.21
"West Bengal",30.93,25.14,27.78,32.74,35.39,35.33,33.74,31.79,31.57,31.72,31.21,28.91,25.77
Maharashtra,32.94,29.79,32.33,35.99,38.78,39.54,34.84,30.61,29.53,30.98,32.61,30.91,29.36
Lakshadweep,30.26,30.68,30.46,30.74,31.38,30.90,29.57,29.23,29.15,29.26,30.09,30.69,31.01
"Administrative unit not available",17.58,5.84,7.13,12.44,18.31,22.46,26.42,26.11,25.25,23.96,20.05,14.11,8.22
"Administrative unit not available",23.20,11.84,13.68,19.00,25.39,29.61,32.01,30.01,29.03,28.31,25.36,19.70,13.97
Kerala,29.94,30.02,31.00,32.13,32.58,31.43,28.93,27.95,27.99,28.83,29.41,29.49,29.60
Karnataka,30.99,29.44,31.90,34.64,36.07,35.24,30.83,28.67,28.37,29.37,29.87,29.09,28.53
"Himachal Pradesh",14.04,3.79,4.97,9.80,15.30,18.82,21.51,21.41,20.52,19.22,15.61,10.61,6.37
Haryana,31.44,21.15,23.62,29.40,35.91,39.49,39.67,35.26,33.65,34.27,33.33,28.29,22.86
Gujarat,33.39,27.99,30.25,34.63,37.77,38.96,36.62,32.79,31.39,32.96,35.35,32.65,29.24
Uttarakhand,19.02,10.03,11.62,16.40,21.73,24.73,25.62,23.69,23.28,22.37,20.14,16.06,12.17
Goa,30.78,30.90,31.50,32.74,33.63,33.07,29.49,27.87,27.73,28.84,30.83,31.58,31.25
"Uttar Pradesh",32.00,22.82,25.81,31.96,37.81,40.27,38.88,34.00,32.74,33.29,32.97,29.10,24.10
Nagaland,24.68,19.51,21.03,24.40,25.83,26.97,27.17,27.12,27.33,27.12,26.12,23.06,20.28
Mizoram,27.18,22.89,25.12,28.85,30.19,29.92,28.14,27.94,27.93,28.49,27.93,25.65,23.04
Meghalaya,26.45,21.23,23.51,27.54,28.39,28.22,28.21,28.36,28.78,28.40,27.52,25.00,22.10
Puducherry,31.92,28.97,30.22,31.95,33.53,35.24,34.69,33.40,32.67,32.36,31.17,29.77,28.96
Delhi,31.34,21.18,23.75,29.75,36.05,39.21,39.15,34.97,33.43,34.04,33.14,28.28,22.78
Manipur,25.29,20.45,22.41,26.14,27.78,28.21,26.99,26.77,26.72,27.06,26.37,23.53,20.85
Assam,27.99,22.49,24.51,28.40,29.31,29.92,30.46,30.56,30.84,30.37,29.26,26.38,23.23
"Andhra Pradesh",32.95,29.29,32.25,35.55,37.91,39.02,35.65,32.37,31.59,31.98,31.50,29.70,28.58
Tripura,29.81,25.24,27.49,31.29,32.26,31.98,30.94,30.73,31.07,31.28,30.75,28.65,25.87
"Tamil Nadu",31.71,29.20,31.10,33.18,34.53,34.82,33.25,32.18,31.80,31.76,30.74,29.35,28.59
Sikkim,11.58,4.87,5.74,8.86,11.74,14.08,16.31,16.18,16.00,15.18,12.86,9.64,7.10
Rajasthan,32.88,23.75,26.48,32.30,37.72,40.67,39.72,35.29,33.39,34.51,34.89,30.24,25.37
Punjab,30.79,19.88,22.16,27.66,34.62,38.94,40.00,35.55,34.14,34.43,32.78,27.27,21.61
Orissa,31.35,26.83,29.55,33.47,36.34,37.55,34.61,30.62,30.21,30.88,30.65,28.81,26.69
